event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	name_a	name_x
2410	TTEWSINGLES-----------FNL-000100--	S	W	FNL	100	3464	2021-03-06 11:00:00	117821		123672		4	2	ITO Mima	HAYATA Hina
2410	TTEWSINGLES-----------SFNL000100--	S	W	SFNL	100	2859	2021-03-05 15:00:00	117821		111628		4	1	ITO Mima	YU Mengyu
2410	TTEWSINGLES-----------QFNL000100--	S	W	QFNL	100	1777	2021-03-05 11:00:00	117821		112368		3	0	ITO Mima	YANG Haeun
2410	TTEWSINGLES-----------8FNL000100--	S	W	8FNL	100	1477	2021-03-04 07:40:00	117821		114726		3	0	ITO Mima	MITTELHAM Nina
2410	TTEWSINGLES-----------R32-000100--	S	W	R32	100	2964	2021-03-03 08:20:00	117821		113701		3	2	ITO Mima	EERLAND Britt
2411	TTEWSINGLES-----------QFNL000100--	S	W	QFNL	100	1937	2021-03-11 09:00:00	117821		115009		3	1	ITO Mima	DIAZ Adriana
2411	TTEWSINGLES-----------FNL-000100--	S	W	FNL	100	2858	2021-03-13 12:00:00	117821		102712		4	1	ITO Mima	FENG Tianwei
2411	TTEWSINGLES-----------SFNL000100--	S	W	SFNL	100	3540	2021-03-12 11:00:00	117821		118994		4	1	ITO Mima	JEON Jihee
2411	TTEWSINGLES-----------8FNL000100--	S	W	8FNL	100	1492	2021-03-10 07:40:00	117821		133405		3	0	ITO Mima	ODO Satsuki
2411	TTEWSINGLES-----------R32-000100--	S	W	R32	100	1264	2021-03-09 07:40:00	117821		115920		3	0	ITO Mima	BATRA Manika
2345	TTEWTEAM--------------FNL-00010002--------	T	W	FNL	10002	2100	2021-08-05 10:34:39	131163		117821		3	1	SUN Yingsha	ITO Mima
2345	TTEWTEAM--------------SFNL00020002--------	T	W	SFNL	20002	2160	2021-08-03 10:35:51	115543		117821		1	3	DOO Hoi Kem	ITO Mima
2345	TTEWTEAM--------------QFNL00040002--------	T	W	QFNL	40002	1620	2021-08-02 10:35:58	110797		117821		0	3	CHENG I-Ching	ITO Mima
2345	TTEWTEAM--------------8FNL00080002--------	T	W	8FNL	80002	1140	2021-08-01 10:37:01	111213		117821		0	3	MADARASZ Dora	ITO Mima
2345	TTEWSINGLES-----------FNL-000200----------	S	W	FNL	200	2820	2021-07-29 11:04:18	111628		117821		1	4	YU Mengyu	ITO Mima
2345	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	300	2160	2021-07-28 06:03:59	117821		118994		4	0	ITO Mima	JEON Jihee
2345	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	200	2040	2021-07-29 03:06:24	117821		131163		0	4	ITO Mima	SUN Yingsha
2345	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	500	2040	2021-07-27 11:40:45	117821		111833		4	0	ITO Mima	SAWETTABUT Suthasini
2345	TTEWSINGLES-----------R32-000900----------	S	W	R32	900	2040	2021-07-27 03:04:06	117821		102863		4	1	ITO Mima	YU Fu
2346	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	300	3058	2021-11-28 00:58:53	117821		124110		1	4	ITO Mima	WANG Yidi
2346	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	500	3407	2021-11-26 22:56:04	117821		111833		4	2	ITO Mima	SAWETTABUT Suthasini
2346	TTEWSINGLES-----------R32-000900----------	S	W	R32	900	3492	2021-11-26 00:06:13	117821		123848		4	3	ITO Mima	SHIBATA Saki
2346	TTEWSINGLES-----------R64-001700----------	S	W	R64	1700	1806	2021-11-25 03:37:28	117821		123228		4	0	ITO Mima	AKASHEVA Zauresh
2536	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	600	1973	2022-03-15 11:42:26	137894		117821		3	1	YUAN Jia Nan	ITO Mima
2536	TTEWSINGLES-----------R32-001200----------	S	W	R32	1200	2067	2022-03-14 07:32:08	114105		117821		1	3	CHEN Szu-Yu	ITO Mima
2536	TTEWSINGLES-----------R64-002400----------	S	W	R64	2400	1567	2022-03-12 06:06:56	118762		117821		1	3	HAN Ying	ITO Mima
2539	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	100	3436	2022-06-19 14:04:26	117820		117821		2	4	HIRANO Miu	ITO Mima
2539	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	200	1834	2022-06-18 17:23:39	118762		117821		0	4	HAN Ying	ITO Mima
2539	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	400	1868	2022-06-18 09:24:58	110797		117821		1	3	CHENG I-Ching	ITO Mima
2539	TTEWSINGLES-----------8FNL000800----------	S	W	8FNL	800	1336	2022-06-17 12:29:15	118507		117821		0	3	KALLBERG Christina	ITO Mima
2539	TTEWSINGLES-----------R32-001600----------	S	W	R32	1600	1241	2022-06-16 13:56:31	112453		117821		0	3	JEGER Mateja	ITO Mima
2591	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	300	3282	2022-07-15 19:20:08	117821		121411		2	3	ITO Mima	WANG Manyu
2591	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	500	2306	2022-07-15 08:38:58	117821		111833		3	2	ITO Mima	SAWETTABUT Suthasini
2591	TTEWSINGLES-----------R32-000900----------	S	W	R32	900	1108	2022-07-14 10:26:27	117821		111213		3	0	ITO Mima	MADARASZ Dora
2593	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	200	2109	2022-07-21 13:26:24	121411		117821		3	0	WANG Manyu	ITO Mima
2593	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	400	1208	2022-07-20 10:44:09	111849		117821		0	3	SHAN Xiaona	ITO Mima
2593	TTEWSINGLES-----------R32-000800----------	S	W	R32	800	1375	2022-07-19 17:13:19	114105		117821		0	3	CHEN Szu-Yu	ITO Mima
2619	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	200	2704	2022-10-22 13:44:19	121403		117821		4	1	CHEN Xingtong	ITO Mima
2619	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	400	2199	2022-10-22 07:21:53	117821		111012		3	2	ITO Mima	SZOCS Bernadette
2619	TTEWSINGLES-----------8FNL000700----------	S	W	8FNL	700	1574	2022-10-21 02:08:16	117821		131036		3	1	ITO Mima	KIHARA Miyuu
2619	TTEWSINGLES-----------R32-001300----------	S	W	R32	1300	1812	2022-10-19 11:47:23	117821		114905		3	1	ITO Mima	BERGSTROM Linda
2627	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	300	1409	2022-10-28 07:41:41	117821		121411		0	3	ITO Mima	WANG Manyu
2627	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	500	1130	2022-10-27 03:19:21	117821		102863		3	0	ITO Mima	YU Fu
2697	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	100	0	2023-02-12 11:00:00	117821		115543		4	0	ITO Mima	DOO Hoi Kem
2697	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	100	1462	2023-02-11 14:00:00	117821		107477		3	0	ITO Mima	POLCANOVA Sofia
2697	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	100	2461	2023-02-11 08:20:00	117821		121623		3	1	ITO Mima	TAKAHASHI Bruna
2697	TTEWSINGLES-----------8FNL000100----------	S	W	8FNL	100	2966	2023-02-10 08:10:00	117821		110797		3	2	ITO Mima	CHENG I-Ching
2697	TTEWSINGLES-----------R32-000100----------	S	W	R32	100	1600	2023-02-09 08:10:00	117821		122718		3	1	ITO Mima	AKULA Sreeja
2629	TTEWSINGLES-----------R32-001300----------	S	W	R32	1300	4182	2023-03-13 11:35:00	117821		119797		2	3	ITO Mima	QIAN Tianyi
2629	TTEWSINGLES-----------R64-002500----------	S	W	R64	2500	2021	2023-03-11 05:35:00	117821		112221		3	1	ITO Mima	ZHANG Lily
2737	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	100	6395	2023-04-13 12:10:00	131163		117821		3	1	SUN Yingsha	ITO Mima
2737	TTEWSINGLES-----------8FNL000200----------	S	W	8FNL	200	1234	2023-04-12 11:35:00	111012		117821		0	3	SZOCS Bernadette	ITO Mima
2737	TTEWSINGLES-----------R32-000400----------	S	W	R32	400	1525	2023-04-11 06:00:00	111833		117821		0	3	SAWETTABUT Suthasini	ITO Mima
2728	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	500	1931	2023-04-19 11:00:00	117821		110797		1	3	ITO Mima	CHENG I-Ching
2728	TTEWSINGLES-----------R32-000900----------	S	W	R32	900	2578	2023-04-17 11:35:00	117821		108226		3	1	ITO Mima	SAMARA Elizabeta
2660	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	300	1703	2023-05-26 14:00:00	112019		117821		4	0	CHEN Meng	ITO Mima
2660	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	600	2166	2023-05-25 17:10:00	115009		117821		0	4	DIAZ Adriana	ITO Mima
2660	TTEWSINGLES-----------R32-001200----------	S	W	R32	1200	1634	2023-05-24 09:40:00	107525		117821		0	4	POTA Georgina	ITO Mima
2660	TTEWSINGLES-----------R64-002400----------	S	W	R64	2400	1319	2023-05-23 11:40:00	123550		117821		0	4	LUTZ Camille	ITO Mima
2660	TTEWSINGLES-----------R128004800----------	S	W	R128	4800	1436	2023-05-21 11:40:00	123228		117821		0	4	AKASHEVA Zauresh	ITO Mima
2694	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	200	1756	2023-07-08 17:35:00	117821		112019		0	3	ITO Mima	CHEN Meng
2694	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	300	1967	2023-07-08 09:00:00	135049		117821		1	3	KUAI Man	ITO Mima
2694	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	600	1696	2023-07-07 11:30:00	111833		117821		1	3	SAWETTABUT Suthasini	ITO Mima
2694	TTEWSINGLES-----------R32-001200----------	S	W	R32	1200	1423	2023-07-06 12:40:00	131401		117821		0	3	CHOI Hyojoo	ITO Mima
2721	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	100	1803	2023-08-05 16:20:00	117821		131036		1	3	ITO Mima	KIHARA Miyuu
2721	TTEWSINGLES-----------8FNL000100----------	S	W	8FNL	100	2749	2023-08-04 20:40:00	117821		119285		3	2	ITO Mima	LEE Zion
2721	TTEWSINGLES-----------R32-000100----------	S	W	R32	100	1347	2023-08-04 00:45:00	117821		115402		3	0	ITO Mima	ZHANG Sofia-Xuan
2705	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	200	1389	2023-11-03 18:00:00	124110		117821		3	0	WANG Yidi	ITO Mima
2705	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	400	2957	2023-11-02 18:35:00	114726		117821		2	3	MITTELHAM Nina	ITO Mima
2705	TTEWSINGLES-----------R32-000800----------	S	W	R32	800	1987	2023-10-31 13:00:00	111656		117821		1	3	MESHREF Dina	ITO Mima
2776	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	200	1495	2023-12-16 09:30:00	112019		117821		3	0	CHEN Meng	ITO Mima
2776	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	400	1752	2023-12-15 11:40:00	115009		117821		1	3	DIAZ Adriana	ITO Mima
2904	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	300	3322	2024-03-15 11:35:00	117821		121411		2	4	ITO Mima	WANG Manyu
2904	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	500	2907	2024-03-14 05:35:00	117820		117821		2	3	HIRANO Miu	ITO Mima
2904	TTEWSINGLES-----------R32-001000----------	S	W	R32	1000	1168	2024-03-12 06:10:00	137627		117821		0	3	LIU Yangzi	ITO Mima
2904	TTEWSINGLES-----------R64-002000----------	S	W	R64	2000	1007	2024-03-10 06:45:00	106706		117821		0	3	NI Xia Lian	ITO Mima
2899	TTEWSINGLES-----------8FNL000700----------	S	W	8FNL	700	2646	2024-03-29 10:00:00	117821		118994		2	3	ITO Mima	JEON Jihee
2899	TTEWSINGLES-----------R32-001300----------	S	W	R32	1300	2442	2024-03-27 05:30:00	117821		137627		3	2	ITO Mima	LIU Yangzi
2932	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	200	3605	2024-05-09 13:05:00	124110		117821		4	3	WANG Yidi	ITO Mima
2932	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	400	2228	2024-05-08 10:00:00	117821		131036		3	1	ITO Mima	KIHARA Miyuu
2932	TTEWSINGLES-----------R32-000700----------	S	W	R32	700	1327	2024-05-07 11:45:00	117821		115543		3	0	ITO Mima	DOO Hoi Kem
2932	TTEWSINGLES-----------R64-001300----------	S	W	R64	1300	1538	2024-05-05 10:35:00	117821		111066		3	1	ITO Mima	WINTER Sabine
2865	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	300	2436	2024-05-25 04:10:00	131036		117821		3	2	KIHARA Miyuu	ITO Mima
2865	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	600	1416	2024-05-24 10:35:00	132318		117821		0	3	NG Wing Lam	ITO Mima
2865	TTEWSINGLES-----------R32-001200----------	S	W	R32	1200	1914	2024-05-23 06:30:00	131342		117821		1	3	ZENG Jian	ITO Mima
2941	TTEWSINGLES-----------R32-001600----------	S	W	R32	1600	1894	2024-05-31 13:25:00	117821		121411		0	3	ITO Mima	WANG Manyu
2869	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	500	2496	2024-06-07 13:20:00	117821		131100		2	3	ITO Mima	PAVADE Prithika
2869	TTEWSINGLES-----------R32-000900----------	S	W	R32	900	1294	2024-06-06 18:20:00	117821		132756		3	0	ITO Mima	ARAPOVIC Hana
2870	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	600	1808	2024-06-15 11:40:00	131100		117821		3	1	PAVADE Prithika	ITO Mima
2870	TTEWSINGLES-----------R32-001200----------	S	W	R32	1200	1107	2024-06-14 17:45:00	106706		117821		0	3	NI Xia Lian	ITO Mima
